depth,region,KGE_k,KGE_s,KGE_d,KGE_oos,r_k,r_s,r_d,r_oos,bias_k,bias_s,bias_d,bias_oos
Shallow,All sites,0.6007115173821674,0.3362797275403896,79,0.5831548809042839,0.808935689342242,0.6754763724258044,20,0.8046049166543411,18.5,30.5,-39,20.2
Shallow,UMRB Mesonet,0.6587768787812466,0.3642617110754155,81,0.5630984619891142,0.8389446902937486,0.6691166566527794,25,0.7721855038107623,13,29,-55,19.6
Middle,All sites,0.47496841698732906,0.3462773337447962,37,0.4251726663972537,0.7173098294741173,0.6556894364684482,9,0.7398291279146447,20.7,29.6,-30,22.95
Middle,UMRB Mesonet,0.5119388916356299,0.17447128871954765,193,0.41972891926299294,0.7524377655620491,0.7174194536987005,5,0.6994914950376477,17.9,29,-38,22.6
