depth,network,n_sites,exact_acc_med,class_err_med,kappa_med
Middle,SNTL,332,0.30158202925630684,1.3404959208933689,0.21410295269443355
Middle,SCAN,173,0.28715415019762847,1.4000837871805614,0.19104750817266017
Middle,USCRN,87,0.31903669724770645,1.2268717948717949,0.29064840209843534
Middle,UMRB Mesonet,0,NA,NA,NA
Shallow,SNTL,326,0.3246457237580078,1.229795717751895,0.27453017515196776
Shallow,SCAN,175,0.32062267923450444,1.2152017516421645,0.2947238427700394
Shallow,USCRN,110,0.37133731361218925,1.0371172325577027,0.38562483095850025
Shallow,UMRB Mesonet,0,NA,NA,NA
