depth,network,n_sites,n_obs_med,n_obs_min,n_sport_valid,KGE_KGML_med,KGE_SPoRT_med,r_KGML_med,r_SPoRT_med,KGE_diff_med,abs_pbias_KGML_med,abs_pbias_SPoRT_med
Middle,SNTL,367,3993,288,363,0.4493790648861127,0.3048797661706505,0.7173098294741173,0.6412661173092997,0.11249372031021998,27.6,30.9
Middle,SCAN,179,5060,987,178,0.4757514963746746,0.3794561712415668,0.6604576350666448,0.6473322236889256,0.10160914656640874,14.9,30.15
Middle,USCRN,87,4053,1845,87,0.5613085286957931,0.44097394299847625,0.7847689398308,0.7245866403957372,0.13024862235590484,14.9,22.9
Middle,UMRB Mesonet,86,840,551,81,0.5119388916356299,0.17447128871954765,0.7524377655620491,0.7174194536987005,0.21421700601921134,17.9,29
Shallow,SNTL,359,2793,184,358,0.5632194476616648,0.2398780690957436,0.7990056653030012,0.6157881946046977,0.29524419141460845,25.4,34.5
Shallow,SCAN,181,4341,742,181,0.6095436882527215,0.43235217511494994,0.7732902021247827,0.684816501079316,0.19388837205381204,14.6,26.3
Shallow,USCRN,110,3778.5,2067,110,0.7030709615920988,0.43104322539205814,0.8582890509879288,0.7531180427425008,0.22753033481031615,13.25,24.549999999999997
Shallow,UMRB Mesonet,84,687.5,451,81,0.6587768787812466,0.3642617110754155,0.8389446902937486,0.6691166566527794,0.23757984805593257,13,29
