region,depth,n_sites,n_obs_med,n_obs_min,n_sport_valid,KGE_KGML_med,KGE_SPoRT_med,r_KGML_med,r_SPoRT_med,KGE_KGML_mean,KGE_SPoRT_mean,KGE_diff_med,abs_pbias_KGML_med,abs_pbias_SPoRT_med,KGE_pct_better
All sites,Middle,719,3967,288,709,0.47512551411306125,0.3462773337447962,0.7176887958629298,0.6573460108010424,0.33550667853842364,0.051555947738476916,0.11469555903621642,20.7,29.6,37.2
All sites,Shallow,734,3181.5,184,730,0.6000043274192819,0.33509748283846946,0.8086573139334094,0.6745872631637899,0.49000687262424075,0.0708280064866292,0.2524041465762829,18.45,30.7,79.1
UMRB Network,Middle,86,840,551,81,0.5119388916356299,0.17447128871954765,0.7524377655620491,0.7174194536987005,0.4397673631190432,-0.17025391068658544,0.21421700601921134,17.9,29,193.4
UMRB Network,Shallow,84,687.5,451,81,0.6587768787812466,0.3642617110754155,0.8389446902937486,0.6691166566527794,0.5831480225224298,0.06869090605200794,0.23757984805593257,13,29,80.9
