site_id,fold,n,KGE,r,pbias,record,depth
WIEM8,all,426,0.6987049048194478,0.8258306109580644,-11.2,OLD (to 2025-04),Shallow
WNFM8,all,57,0.5197185116119674,0.8340803164691302,10.4,OLD (to 2025-04),Shallow
WOFM8,all,47,-0.6407776223017496,-0.5614434046311847,-0,OLD (to 2025-04),Shallow
WRHM8,all,491,0.5132131957863555,0.7463298839605086,12.7,OLD (to 2025-04),Shallow
ASAM8,all,745,0.5375659463761513,0.8875688409238582,14.4,NEW (to 2026-06),Shallow
BDEM8,all,309,0.22385882455737127,0.817492137992376,70.6,NEW (to 2026-06),Shallow
BNGM8,all,506,0.8140993652092572,0.8933707887168857,-0.9,NEW (to 2026-06),Shallow
BNWM8,all,608,0.5617575255083351,0.8932972932500951,12.9,NEW (to 2026-06),Shallow
BRYM8,all,634,0.6467831652678345,0.6477976169922507,-2.7,NEW (to 2026-06),Shallow
BSEM8,all,432,0.28926072193459074,0.6682049224712344,41.4,NEW (to 2026-06),Shallow
BSWM8,all,387,0.021106272013827754,0.7630457007349956,89.2,NEW (to 2026-06),Shallow
BTSM8,all,994,0.32513993932636365,0.8334587036681209,59.5,NEW (to 2026-06),Shallow
BUFM8,all,288,0.43412354946830967,0.700581867351275,25.1,NEW (to 2026-06),Shallow
BUSM8,all,657,0.6808545484001551,0.8599632427354847,11.9,NEW (to 2026-06),Shallow
BYUM8,all,665,0.6644125061319132,0.883656001438509,11.3,NEW (to 2026-06),Shallow
CHSM8,all,618,0.5991166642330974,0.8398502619637399,28.7,NEW (to 2026-06),Shallow
CNNM8,all,395,0.4012171351891328,0.5023380726045966,-4,NEW (to 2026-06),Shallow
CRNM8,all,490,0.5848625556241761,0.7427955224004045,16.7,NEW (to 2026-06),Shallow
CSTM8,all,436,0.1129217132017365,0.8520283249268944,87.1,NEW (to 2026-06),Shallow
DOGM8,all,321,-0.22863447548541593,0.5383946707180226,111.9,NEW (to 2026-06),Shallow
DRYM8,all,335,0.22507756917409627,0.7250190597299382,47.8,NEW (to 2026-06),Shallow
DYRM8,all,716,0.5920434963652181,0.7661560002943992,-4.8,NEW (to 2026-06),Shallow
FOXM8,all,375,0.07906842323856611,0.612782939009492,60.4,NEW (to 2026-06),Shallow
FRGM8,all,659,0.7151667013839407,0.8846942237801435,12.8,NEW (to 2026-06),Shallow
FTKM8,all,331,0.21897687365996,0.8020922167993059,54.6,NEW (to 2026-06),Shallow
GLOM8,all,369,0.47837237687962453,0.678465944684418,23.4,NEW (to 2026-06),Shallow
HIWM8,all,468,0.4331550796278659,0.5046426036672782,-27,NEW (to 2026-06),Shallow
HOGM8,all,345,0.4590216683585955,0.7808323569660605,40.2,NEW (to 2026-06),Shallow
HWTM8,all,672,0.5700488743869007,0.8116262453167917,36.1,NEW (to 2026-06),Shallow
INNM8,all,379,0.3593057649500767,0.6378359667019814,44.8,NEW (to 2026-06),Shallow
ISSM8,all,477,0.4282281091967216,0.6398848526024806,16.6,NEW (to 2026-06),Shallow
JGPM8,all,423,0.6923722301874198,0.894407718710093,20.2,NEW (to 2026-06),Shallow
LGGM8,all,725,0.8341731725739396,0.8695873280217632,-9.7,NEW (to 2026-06),Shallow
LLNM8,all,304,0.030217606666026908,0.8130796653925128,93.3,NEW (to 2026-06),Shallow
LMDM8,all,733,0.6625955771088861,0.8640501684745208,-24.3,NEW (to 2026-06),Shallow
LOAM8,all,421,0.5644393984698932,0.8121287907352788,30.9,NEW (to 2026-06),Shallow
LORM8,all,585,0.17120048089017892,0.7824296731848461,64.4,NEW (to 2026-06),Shallow
LTBM8,all,356,0.2480178582376663,0.7480673492689766,60,NEW (to 2026-06),Shallow
LVAM8,all,767,0.6214293264882491,0.8046049166543411,19,NEW (to 2026-06),Shallow
MBYM8,all,340,0.58539110840951325,0.7952182574964742,18.7,NEW (to 2026-06),Shallow
MEDM8,all,292,0.24995056370459023,0.7650441423317081,57.2,NEW (to 2026-06),Shallow
MINM8,all,358,0.566883064151068,0.8316850891540359,1.7,NEW (to 2026-06),Shallow
MOBM8,all,656,0.6250139108880872,0.6812781144417396,9.6,NEW (to 2026-06),Shallow
MOTM8,all,846,0.6048564559686219,0.7724156386395827,-3.9,NEW (to 2026-06),Shallow
MOYM8,all,658,0.5504625066172493,0.826958467274395,-14.3,NEW (to 2026-06),Shallow
MSSM8,all,677,0.24981667591131151,0.7505768680204414,70.3,NEW (to 2026-06),Shallow
MTLM8,all,373,0.6564013989886206,0.7374099883039477,15.8,NEW (to 2026-06),Shallow
MTRM8,all,704,-0.32080028794190496,0.766037655363235,129.6,NEW (to 2026-06),Shallow
NUAM8,all,322,-0.8616854509765082,0.7580797737602399,182.5,NEW (to 2026-06),Shallow
OHMM8,all,356,0.2539103023867476,0.7422409713240375,41,NEW (to 2026-06),Shallow
OTRM8,all,678,0.47538015926786237,0.8876690986642368,-14.3,NEW (to 2026-06),Shallow
PARM8,all,323,0.18969868389731537,0.6763443405173043,62.2,NEW (to 2026-06),Shallow
RADM8,all,823,0.5354451891643859,0.7375561663243533,-10.2,NEW (to 2026-06),Shallow
RGTM8,all,690,0.37481962078967646,0.8354268504401026,55,NEW (to 2026-06),Shallow
RMYM8,all,701,0.6018700294886452,0.8995305616655229,22.3,NEW (to 2026-06),Shallow
RYOM8,all,650,0.4493397308685104,0.7606984970629967,33.8,NEW (to 2026-06),Shallow
SASM8,all,602,0.5831548809042839,0.669642354074016,8.9,NEW (to 2026-06),Shallow
SBSM8,all,402,0.1084558016089534,0.7852804976045922,78.7,NEW (to 2026-06),Shallow
SCYM8,all,539,0.3158652876999033,0.721873520408612,46.9,NEW (to 2026-06),Shallow
SDLM8,all,575,0.6272628734549814,0.819614188532264,-25.3,NEW (to 2026-06),Shallow
SDSM8,all,657,0.7848598312671806,0.8254387590420169,9.5,NEW (to 2026-06),Shallow
SURM8,all,774,0.6302596372425142,0.7719553689819421,2.8,NEW (to 2026-06),Shallow
SVYM8,all,289,-0.2546269046027918,0.7989962238174524,118.7,NEW (to 2026-06),Shallow
TAMM8,all,392,0.25479102773575,0.37476065115821616,9.3,NEW (to 2026-06),Shallow
TRNM8,all,600,0.10709805833527919,0.6168813445777459,70.3,NEW (to 2026-06),Shallow
TWOM8,all,711,0.587859450343249,0.7824784705853982,24.6,NEW (to 2026-06),Shallow
VLTM8,all,753,0.6384721291889801,0.7386468106315732,-11.9,NEW (to 2026-06),Shallow
VOTM8,all,310,0.04522276445187767,0.6987963110675266,80.9,NEW (to 2026-06),Shallow
WETM8,all,279,0.1770429757823766,0.8191460422477786,70.1,NEW (to 2026-06),Shallow
WIEM8,all,689,0.5941411985463476,0.7329674966602823,-8.1,NEW (to 2026-06),Shallow
WNFM8,all,317,0.570707622991488,0.8510930245268548,16,NEW (to 2026-06),Shallow
WOFM8,all,311,0.5179415184599865,0.677489938284497,16.3,NEW (to 2026-06),Shallow
WRHM8,all,749,0.3841059086216051,0.6455379583101026,23.6,NEW (to 2026-06),Shallow
ASAM8,all,464,0.5466732095280663,0.863243783131987,-5.6,OLD (to 2025-04),Middle
BDEM8,all,27,0.438317808108721,0.8060795185832839,-11.7,OLD (to 2025-04),Middle
BNGM8,all,152,0.3534501740232445,0.8488619995625968,-35.6,OLD (to 2025-04),Middle
BNWM8,all,426,0.48711774996614143,0.9303358243374843,-32.5,OLD (to 2025-04),Middle
BRYM8,all,460,0.08699291538261977,0.18177086508545864,-27,OLD (to 2025-04),Middle
BSEM8,all,100,0.49595291446482137,0.7939751586375837,-28.7,OLD (to 2025-04),Middle
BSWM8,all,105,-0.12072623177431896,0.649116702139699,104.1,OLD (to 2025-04),Middle
BTSM8,all,918,0.5782194781686245,0.8229125307836047,13,OLD (to 2025-04),Middle
BUFM8,all,79,0.3252839247809234,0.9055317864349453,-30.9,OLD (to 2025-04),Middle
BUSM8,all,509,0.5851157463960628,0.7875812604271989,-13.4,OLD (to 2025-04),Middle
