depth,n,KGE_pre,KGE_nop,r_pre,r_nop,bias_pre,bias_nop,KGE_diff,r_diff,bias_diff
Shallow,727,0.5997425123325064,0.4797100371237967,0.808733481812197,0.7528736446420198,18.402414032073914,19.364256689274427,0.12,0.06,-1
Middle,717,0.4735580549926583,0.3576716906126337,0.7163450293130341,0.6516994159304119,20.93315893147675,21.58574887314264,0.11,0.07,-0.7
