depth,region,n,KGE_kgml,KGE_sport,KGE_diff,r_kgml,r_sport,r_diff,bias_kgml,bias_sport,bias_diff
Shallow,All sites,727,0.5997422839894624,0.3362797275403896,0.26,0.8087335398957566,0.6754763724258044,0.13,18.4,30.5,-12.1
Shallow,UMRB Mesonet,84,0.6547438316037926,0.3642617110754155,0.29,0.8389280596082425,0.6691166566527794,0.17,14.2,29,-14.8
Middle,All sites,717,0.4735583051704233,0.3462773337447962,0.13,0.7163459347847898,0.6556894364684482,0.06,20.9,29.6,-8.7
Middle,UMRB Mesonet,86,0.4980645971139751,0.17447128871954765,0.32,0.7354241897079121,0.7174194536987005,0.02,17.35,29,-11.6
