depth,n_years,ols_slope_per_decade,ols_p,ols_r2
shallow,45,-5.37182777984354e-4,0.6668972098573415,0.00434908962040126
middle,45,-1.533414927476037e-4,0.8838008445990061,5.024413448172197e-4
