depth,network,site_id,n,exact_acc,class_err,kappa
Middle,SNTL,SNTL:935,2733,0.32491767288693746,1.539699963410172,0.2165438120156784
Middle,UMRB Mesonet,TIMS2,0,NA,NA,NA
Middle,UMRB Mesonet,WLLN8,0,NA,NA,NA
Middle,UMRB Mesonet,WRIS2,0,NA,NA,NA
Middle,UMRB Mesonet,ZELN8,0,NA,NA,NA
Middle,USCRN,1014,3365,0.24457652303120356,1.8989598811292718,0.02615151042472279
Middle,USCRN,1019,4647,0.2573703464600818,1.3968151495588552,0.2638517306142513
Middle,USCRN,1026,4728,0.2755922165820643,1.4509306260575296,0.26051041480835446
Middle,USCRN,1027,4743,0.3972169512966477,0.9399114484503479,0.437427218696634
Middle,USCRN,1030,4932,0.3386050283860503,1.0932684509326844,0.3893062264216359
Middle,USCRN,1035,2849,0.26921726921726924,1.4376974376974376,0.2617213911121243
Middle,USCRN,1113,4203,0.3652153223887699,1.0756602426837973,0.4098271648144159
Middle,USCRN,1114,3718,0.2982786444324906,1.3859601936525014,0.25125063765508876
Middle,USCRN,1118,3610,0.2966759002770083,1.292797783933518,0.3325972881932596
Middle,USCRN,1121,4360,0.31903669724770645,1.2662844036697247,0.197497763110209
Middle,USCRN,1122,4910,0.3140529531568228,1.2181262729124236,0.2905557591603991
Middle,USCRN,1123,4065,0.34415744157441575,1.1060270602706026,0.29268119227962913
Middle,USCRN,1387,3447,0.34812880765883375,1.157818392805338,0.17752321713747427
Middle,UMRB Mesonet,BFMS2,0,NA,NA,NA
Middle,UMRB Mesonet,BLWM8,0,NA,NA,NA
Middle,UMRB Mesonet,CURN8,0,NA,NA,NA
Middle,UMRB Mesonet,DDMW4,0,NA,NA,NA
Middle,UMRB Mesonet,GGMS2,0,NA,NA,NA
Middle,UMRB Mesonet,HIHS2,0,NA,NA,NA
Middle,UMRB Mesonet,PVMS2,0,NA,NA,NA
Middle,UMRB Mesonet,RADM8,0,NA,NA,NA
Middle,SCAN,SCAN:2003,5722,0.30094372596994057,1.3600139811254806,0.23087050157447642
Middle,SCAN,SCAN:2004,6329,0.3171117080107442,1.223732027176489,0.28109628188985164
Middle,SCAN,SCAN:2013,7105,0.2841660802251935,1.394933145672062,0.2764090549216955
Middle,SCAN,SCAN:2035,7853,0.2583725964599516,1.7360244492550618,0.14287817193426158
Middle,SCAN,SCAN:2038,7336,0.3124318429661941,1.383042529989095,0.27869159910042784
Middle,SCAN,SCAN:2060,6275,0.3062948207171315,1.3666932270916334,0.2328546861821846
Middle,SCAN,SCAN:2079,6866,0.25385959801922514,1.531022429362074,0.18686814968859095
Middle,SCAN,SCAN:2082,6211,0.3709547576879729,1.0511994847850588,0.2716769590043622
Middle,SCAN,SCAN:2086,6236,0.20397690827453496,1.93120590121873,0.10584327798006904
Middle,SCAN,SCAN:2110,5710,0.1966725043782837,1.9327495621716286,0.07309684533760158
Middle,SCAN,SCAN:2134,4957,0.23764373613072423,1.7581198305426669,0.10800811280289428
Middle,SCAN,SCAN:2135,5255,0.27326355851569933,1.4300666032350142,0.12668361859851954
Middle,SCAN,SCAN:2142,4564,0.3479404031551271,1.1437335670464506,0.24745206182664828
Middle,SCAN,SCAN:2148,3863,0.28863577530416773,1.3233238415739064,0.13544316072874024
Middle,SCAN,SCAN:2158,4350,0.21057471264367816,1.7395402298850575,0.12396531177351505
Middle,SCAN,SCAN:2166,4267,0.2331849074291071,1.498945394891024,0.1676172882771112
Middle,SCAN,SCAN:2179,4015,0.33499377334993774,1.1506849315068493,0.2690612514786349
Middle,SCAN,SCAN:2183,2387,0.3028906577293674,1.4000837871805614,-0.0717861231452998
Middle,SCAN,SCAN:2184,2810,0.29252669039145907,1.5163701067615658,-0.07166098179758468
Middle,SCAN,SCAN:2205,1516,0.33047493403693934,1.1794195250659631,0.02619560168643757
Middle,SNTL,SNTL:1016,6710,0.2767511177347243,1.5520119225037259,0.19303399213815398
Middle,SNTL,SNTL:1053,0,NA,NA,NA
Middle,SNTL,SNTL:1141,2579,0.28383094222566885,1.4082977898410236,0.2675393226256345
Middle,SNTL,SNTL:1261,1988,0.2917505030181087,1.3269617706237424,0.21066512099695706
Middle,SNTL,SNTL:334,3521,0.30360692984947457,1.4069866515194547,0.1440545578649205
Middle,SNTL,SNTL:367,0,NA,NA,NA
Middle,SNTL,SNTL:390,6511,0.30394716633389646,1.2297650130548303,0.27713650863385314
Middle,SNTL,SNTL:432,5501,0.2884930012724959,1.443192146882385,0.15419427057874432
Middle,SNTL,SNTL:445,6345,0.21418439716312057,1.5199369582348305,0.17096474970560074
Middle,SNTL,SNTL:518,6677,0.22180620038939644,1.682791672906994,0.025781238123458023
Middle,SNTL,SNTL:543,4524,0.2504420866489832,1.5528293545534926,0.14841645784826632
Middle,SNTL,SNTL:572,6434,0.30494249300590615,1.300435188063413,0.16536413005703735
Middle,SNTL,SNTL:578,0,NA,NA,NA
Middle,SNTL,SNTL:589,5790,0.2972366148531952,1.3911917098445596,0.2375717199995793
Middle,SNTL,SNTL:594,5545,0.32082957619477004,1.3166816952209197,0.22451438911106383
