pc_choice,n_pc,reference,distance,threshold_95pct_selfNN,area_frac_unsampled
N90,7,station,Euclidean,2.7938298498911522,0.06158190989318219
N90,7,station,Mahalanobis,1.689695848365791,0.046421187096819916
N90,7,pretrain,Euclidean,1.5431014142006299,0.031111638693949
N90,7,pretrain,Mahalanobis,0.8029788084684066,0.031549256846420834
N95,10,station,Euclidean,3.7467710058492703,0.03742964003692292
N95,10,station,Mahalanobis,2.431415182278492,0.03993309934640755
N95,10,pretrain,Euclidean,2.1696617395273017,0.029628697829095052
N95,10,pretrain,Mahalanobis,1.350372577936743,0.025803525395140844
