depth,network,site_id,fold,n_ml,n_sport,lon,lat,KGE_KGML,KGE_SPoRT,KGE_diff,r_KGML,r_SPoRT,r_diff,pbias_KGML,pbias_SPoRT,pbias_diff,abs_pbias_adv
Shallow,SNTL,SNTL:853,6,4781,4046,-112.90155,37.575,0.5893096618850173,0.378093725282001,0.2112159366030163,0.7835912691797252,0.5073593988023541,0.27623187037737107,-13.3,-8.9,-4.4,-4.4
Shallow,SNTL,SNTL:854,8,2667,2640,-105.54337,35.77584,0.14138667839836982,-0.15013640157482966,0.2915230799731995,0.5372376748651969,0.08125316581009177,0.4559845090551051,71,63,8,-8
Shallow,SNTL,SNTL:857,5,2566,2439,-105.12262,37.21423,0.15032784073485383,0.18459071805445648,-0.03426287731960265,0.32636039234566006,0.46638701936558535,-0.1400266270199253,42.5,47.3,-4.799999999999997,4.799999999999997
Shallow,SNTL,SNTL:861,4,4683,3776,-112.14966,35.141890000000004,0.20421404056615788,0.14554936718790856,0.05866467337824932,0.43319300894702073,0.3496503495516405,0.08354265939538025,-12.4,-5.7,-6.7,-6.7
Shallow,SNTL,SNTL:862,6,322,322,-109.90987,45.04575,0.005700679256885777,0.21217270769145613,-0.20647202843457035,0.3690318420557538,0.8441375185895322,-0.47510567653377844,-24.7,34.5,-59.2,9.8
Shallow,SNTL,SNTL:864,10,3617,3237,-110.98845,39.9645,0.6050088482388007,0.34532379596623386,0.2596850522725669,0.8360158814120072,0.5869039774965118,0.24911190391549543,35.9,26.4,9.5,-9.5
Shallow,SNTL,SNTL:865,4,3379,3093,-111.88163,37.83633,0.5110816886607561,0.23543799639471197,0.2756436922660441,0.8152266080073688,0.6146538001549131,0.20057280785245568,-23.9,-22.9,-1,-1
Shallow,SNTL,SNTL:867,10,1445,1418,-112.47783,42.75743,0.739878775050043,0.39265076888969963,0.34722800616034333,0.8930357225405527,0.7011040471572337,0.191931675383319,-5,7.4,-12.4,2.4000000000000004
Shallow,SNTL,SNTL:871,7,2888,2800,-115.00278,42.01257,0.49384728491396546,0.14855934412017513,0.3452879407937903,0.8208923773287753,0.7658306776827248,0.055061699646050455,47.2,74.9,-27.700000000000003,27.700000000000003
Shallow,SNTL,SNTL:872,8,3012,2708,-105.57782,42.27991,0.040200541471484885,-0.12015144199899952,0.1603519834704844,0.501845414531931,0.45355278474214045,0.04829262978979054,81.2,91.2,-10,10
Shallow,SNTL,SNTL:874,10,3465,3332,-106.80234,37.47903,0.22561352497733778,0.06003409938112492,0.16557942559621286,0.3335079287242775,0.06481300075027135,0.2686949279740061,-20.8,-3.8,-17,-17
Shallow,SNTL,SNTL:895,2,2832,2539,-114.41812,43.7685,0.45836314898128194,0.3914754646141152,0.06688768436716674,0.8068394731419727,0.7623679839429199,0.04447148919905275,-40.6,-5.8,-34.800000000000004,-34.800000000000004
Shallow,SNTL,SNTL:897,9,640,640,-121.47197,47.28312,-0.07345349934982459,-1.2147611128995428,1.1413076135497182,0.2562729009842914,0.011386921194345846,0.24488597978994556,70.9,197.9,-127,127
Shallow,SNTL,SNTL:907,7,3703,3676,-112.27118,37.52217,0.5433561210341625,0.3285715473891505,0.21478457364501202,0.8665943413776331,0.6947044372542158,0.17188990412341731,-6.5,1.2,-7.7,-5.3
Shallow,SNTL,SNTL:914,8,2543,2516,-105.43666,37.85191999999999,0.709648507114807,0.4807420070088112,0.22890650010599578,0.8268406409432528,0.757432377631401,0.06940826331185179,23.3,17.8,5.5,-5.5
