depth,network,site_id,fold,n_ml,n_sport,lon,lat,KGE_KGML,KGE_SPoRT,KGE_diff,r_KGML,r_SPoRT,r_diff,pbias_KGML,pbias_SPoRT,pbias_diff,abs_pbias_adv
Shallow,SCAN,SCAN:2001,5,6817,5346,-96.46667,40.85,0.6797838791536188,0.46013249068831563,0.2196513884653032,0.7526826837770086,0.6248072611295569,0.12787542264745178,-0.7,-15.5,14.8,14.8
Shallow,SCAN,SCAN:2002,3,5564,3878,-93.95,45.41667,0.60867358296119,0.4028123927994226,0.2058611901617674,0.6980851845192018,0.5572327480366199,0.14085243648258183,-11.1,38,-49.1,26.9
Shallow,SCAN,SCAN:2003,9,4927,3265,-88.58333000000002,45.46666999999999,0.7553738956643931,0.36643239397936833,0.3889415016850247,0.7676064070477354,0.4703994236650287,0.29720698338270674,-3,31.9,-34.9,28.9
Shallow,SCAN,SCAN:2004,7,5678,3646,-89.9,40.31667,0.010718780917397197,0.04800529339549198,-0.03728651247809478,0.6931022263855966,0.7430712739932853,-0.04996904760768872,81.1,78,3.0999999999999943,-3.0999999999999943
Shallow,SCAN,SCAN:2005,4,8116,5604,-87.83333,37.1,0.7210492321851616,0.5403824374741648,0.18066679471099678,0.7287494821254498,0.5659096014145223,0.16283988071092748,-4.8,-12.8,8,8
Shallow,SCAN,SCAN:2006,1,7979,5037,-102.1,35.166669999999996,0.6105458829731991,0.37709107626147675,0.23345480671172236,0.6957880870791586,0.6263149559264046,0.069473131152754,17.5,14.8,2.6999999999999993,-2.6999999999999993
Shallow,SCAN,SCAN:2008,10,7002,4822,-76.65,35.86667,0.5203147075365777,0.4702208684445961,0.05009383909198162,0.7004161552796743,0.6214007275419725,0.07901542773770176,-26.7,-4.2,-22.5,-22.5
Shallow,SCAN,SCAN:2009,6,7660,5578,-84.41667000000001,30.300000000000004,0.3130146038467674,-0.6290332042310742,0.9420478080778416,0.36472745116539024,0.6016267806538584,-0.2368993294884682,-1.3,134.4,-135.70000000000002,133.1
Shallow,SCAN,SCAN:2011,8,8044,5380,-77.03333,42.88333,0.7832394485879655,0.5218296133081104,0.26140983527985506,0.8220697255982374,0.5742891888684187,0.2477805367298187,-5.5,8.8,-14.3,3.3000000000000007
Shallow,SCAN,SCAN:2012,1,7276,4513,-81.63333,29.1,-0.09135129388158147,-2.1204376961612565,2.029086402279675,0.5278474189418331,0.4589412021506019,0.06890621679123116,96.1,300.2,-204.1,204.1
Shallow,SCAN,SCAN:2013,2,7736,5004,-83.43333,33.88333,0.8277929749941366,0.7197897335397351,0.10800324145440154,0.840090290680581,0.8088024784335269,0.031287812247054125,-3.5,17.5,-21,14
Shallow,SCAN,SCAN:2014,3,6371,4028,-83.45,39.95,0.7970483029772655,0.5803831546716274,0.2166651483056381,0.8291218110934788,0.6967352923696702,0.13238651872380858,-0.8,-9.7,8.899999999999999,8.899999999999999
Shallow,SCAN,SCAN:2015,6,8468,5903,-105.41667,34.25,0.5865044066219816,0.270077214636973,0.31642719198500857,0.6923134840223719,0.6553698066032039,0.03694367741916804,6.8,61.6,-54.800000000000004,54.800000000000004
Shallow,SCAN,SCAN:2016,2,8467,5695,-95.98333,30.083330000000004,0.3678806557026951,0.22384811200839339,0.14403254369430174,0.5356108302267064,0.35603587070557347,0.17957495952113295,-9.8,17.6,-27.400000000000002,7.800000000000001
Shallow,SCAN,SCAN:2017,4,6533,4716,-104.74033,40.85989,0.5219746204491846,0.535554927101379,-0.01358030665219434,0.7354622599618633,0.6918137314455503,0.04364852851631307,-20.6,-7.7,-12.900000000000002,-12.900000000000002
Shallow,SCAN,SCAN:2018,7,6588,4421,-104.13333,42.06667,0.6055412449911726,-0.1500191793750023,0.7555604243661749,0.6088645827385335,0.602135200866462,0.006729381872071505,1.1,107.9,-106.80000000000001,106.80000000000001
Shallow,SCAN,SCAN:2019,7,6442,4196,-109.8,48.48333,0.5379787824438964,0.4207043122360369,0.11727447020785953,0.7539447006686553,0.7266474602505371,0.027297240418118207,16.7,39.1,-22.400000000000002,22.400000000000002
Shallow,SCAN,SCAN:2020,9,6247,4244,-100.91667,46.76667,0.47842218803505043,0.3892765583402441,0.08914562969480633,0.7526669970776809,0.7094578061268677,0.043209190950813214,-17.6,-24.8,7.199999999999999,7.199999999999999
Shallow,SCAN,SCAN:2021,3,8058,5197,-118.56667,47,0.6810647306621576,-0.4562383703958295,1.137303101057987,0.8728314592093163,0.8718048991402437,0.0010265600690725352,5.6,144.8,-139.20000000000002,139.20000000000002
Shallow,SCAN,SCAN:2022,6,7520,5726,-98.01667,35.55,0.7315641452524586,0.5573408872407553,0.17422325801170335,0.8360093365762719,0.7523493897185313,0.08365994685774059,-6,-11.5,5.5,5.5
Shallow,SCAN,SCAN:2024,7,6676,5079,-89.86667,34.25,0.7694706677645802,0.6475598934329106,0.12191077433166952,0.8647961478928528,0.7920237095562681,0.07277243833658464,-18.7,-26.3,7.600000000000001,7.600000000000001
Shallow,SCAN,SCAN:2025,10,7428,5445,-89.9,34.23333,0.7930424420410389,0.7268691555608127,0.06617328648022625,0.8675779724126502,0.8275260684350288,0.04005190397762137,4.3,-4.3,8.6,0
Shallow,SCAN,SCAN:2026,3,5997,4864,-110.05,31.73333,0.6982269486323952,-0.7754767161578247,1.4737036647902197,0.8644705010276662,0.8004709638133286,0.0639995372143376,23.7,172.3,-148.60000000000002,148.60000000000002
Shallow,SCAN,SCAN:2027,7,8044,6134,-83.55,31.499999999999993,0.6397555078529458,0.023388022186489388,0.6163674856664564,0.6512731883114006,0.585173958424931,0.06609922988646955,5.3,82.6,-77.3,77.3
Shallow,SCAN,SCAN:2028,5,7045,5459,-76.66667,40.66667,0.6016145411568228,0.29233815038161826,0.3092763907752045,0.7489992452929122,0.5727325920353872,0.176266653257525,30.9,48,-17.1,17.1
Shallow,SCAN,SCAN:2030,3,6577,4836,-91.88333,34.85,0.743079647736021,0.5744726089506424,0.16860703878537853,0.8947291749801789,0.7707653556347849,0.12396381934539402,5.9,-13.6,19.5,7.699999999999999
Shallow,SCAN,SCAN:2031,7,5671,4782,-93.73333,42.016670000000005,0.5912274777673074,0.5320886991910951,0.0591387785762123,0.8098103784414296,0.7056970598480214,0.10411331859340811,-23.1,-18.9,-4.200000000000003,-4.200000000000003
Shallow,SCAN,SCAN:2032,2,8143,6289,-90.65,33.38333000000001,0.5918064285318628,0.37817836582541686,0.21362806270644596,0.6671935804208229,0.5595634326588464,0.10763014776197644,-19.8,-37.2,17.400000000000002,17.400000000000002
Shallow,SCAN,SCAN:2033,3,7326,5627,-90.94208,32.75358000000001,0.12093569473776666,0.3040106599930703,-0.18307496525530365,0.7172339383447786,0.6633459296611834,0.05388800868359511,12.5,-37.5,50,25
