site_id,network,longitude,latitude,oos_shallow,oos_middle,fully_oos
DOOM8,UMRB Mesonet,-104.38458,48.83369,TRUE,TRUE,TRUE
DRYM8,UMRB Mesonet,-108.64159,48.0419,TRUE,TRUE,TRUE
DTMS2,UMRB Mesonet,-97.5325,44.4951,TRUE,TRUE,TRUE
DTMW4,UMRB Mesonet,-105.014,44.713,TRUE,TRUE,TRUE
DVDN8,UMRB Mesonet,-103.6971,46.5641,TRUE,TRUE,TRUE
DYRM8,UMRB Mesonet,-112.54923,48.29556,TRUE,TRUE,TRUE
EGBS2,UMRB Mesonet,-101.07714,45.02386,TRUE,TRUE,TRUE
ELIN8,UMRB Mesonet,-101.9858,46.5013,TRUE,TRUE,TRUE
ESWN1,UMRB Mesonet,-102.16559,42.2794,TRUE,TRUE,TRUE
FCMW4,UMRB Mesonet,-104.2952,44.1959,TRUE,TRUE,TRUE
FLDN8,UMRB Mesonet,-103.24321,47.12531,TRUE,TRUE,TRUE
FLMS2,UMRB Mesonet,-103.055,43.1002,TRUE,TRUE,TRUE
FOXM8,UMRB Mesonet,-110.74849,48.89941,TRUE,TRUE,TRUE
FRDN1,UMRB Mesonet,-97.398063,42.749287,TRUE,TRUE,TRUE
FRGM8,UMRB Mesonet,-109.08885,47.10576,TRUE,TRUE,TRUE
FROM8,UMRB Mesonet,-104.49668,48.25794,TRUE,TRUE,TRUE
FTKM8,UMRB Mesonet,-104.77125,48.22337,TRUE,TRUE,TRUE
GLOM8,UMRB Mesonet,-106.74891,48.1244,TRUE,TRUE,TRUE
GONN1,UMRB Mesonet,-102.0689,42.64832,TRUE,TRUE,TRUE
GRMS2,UMRB Mesonet,-99.439,43.4642,TRUE,TRUE,TRUE
GWMS2,UMRB Mesonet,-100.2423,45.0057,TRUE,TRUE,TRUE
HAUN1,UMRB Mesonet,-103.89799,42.66399,TRUE,TRUE,TRUE
HBNN8,UMRB Mesonet,-102.0759,46.8045,TRUE,TRUE,TRUE
HDFN8,UMRB Mesonet,-99.93723,47.45111,TRUE,TRUE,TRUE
HEUN1,UMRB Mesonet,-102.93946,42.40871,TRUE,TRUE,TRUE
HIWM8,UMRB Mesonet,-110.89959,47.68476,TRUE,TRUE,TRUE
HLMS2,UMRB Mesonet,-97.17166,43.23507,TRUE,TRUE,TRUE
HMMS2,UMRB Mesonet,-99.4144,44.8572,TRUE,TRUE,TRUE
HOFN8,UMRB Mesonet,-103.10819,48.16443,TRUE,TRUE,TRUE
HOGM8,UMRB Mesonet,-108.78024,48.81634,TRUE,TRUE,TRUE
HRMS2,UMRB Mesonet,-100.0909,45.8664,TRUE,TRUE,TRUE
HSMS2,UMRB Mesonet,-102.9225,43.7387,TRUE,TRUE,TRUE
HSPN1,UMRB Mesonet,-102.6489,42.36969,TRUE,TRUE,TRUE
HSUN1,UMRB Mesonet,-102.90947,42.61461,TRUE,TRUE,TRUE
HUMW4,UMRB Mesonet,-104.6962,44.7389,TRUE,TRUE,TRUE
HWTM8,UMRB Mesonet,-109.70085,46.41295,TRUE,TRUE,TRUE
INNM8,UMRB Mesonet,-110.70967,48.71885,TRUE,TRUE,TRUE
ISMS2,UMRB Mesonet,-101.4924,45.3863,TRUE,TRUE,TRUE
ISSM8,UMRB Mesonet,-110.71257,48.37537,TRUE,TRUE,TRUE
JGPM8,UMRB Mesonet,-109.76837,46.71887,TRUE,TRUE,TRUE
KBMS2,UMRB Mesonet,-99.8254,43.8161,TRUE,TRUE,TRUE
KDMS2,UMRB Mesonet,-101.5915,43.874,TRUE,TRUE,TRUE
LBMS2,UMRB Mesonet,-99.6111,44.0822,TRUE,TRUE,TRUE
LBTN8,UMRB Mesonet,-102.21621,47.91428,TRUE,TRUE,TRUE
LEFN8,UMRB Mesonet,-102.38507,46.58835,TRUE,TRUE,TRUE
LGGM8,UMRB Mesonet,-107.51536,45.3073,TRUE,TRUE,TRUE
LINN8,UMRB Mesonet,-100.28146,46.32716,TRUE,TRUE,TRUE
LIVN8,UMRB Mesonet,-100.56771,46.43594,TRUE,TRUE,TRUE
LLNM8,UMRB Mesonet,-106.24298,48.52674,TRUE,TRUE,TRUE
LMDM8,UMRB Mesonet,-106.48794,45.65598,TRUE,TRUE,TRUE
LNMS2,UMRB Mesonet,-103.7168,45.8268,TRUE,TRUE,TRUE
LOAM8,UMRB Mesonet,-110.49169,47.95366,TRUE,TRUE,TRUE
LORM8,UMRB Mesonet,-107.87788,48.77156,TRUE,TRUE,TRUE
LPMS2,UMRB Mesonet,-100.673,45.1456,TRUE,TRUE,TRUE
LRMS2,UMRB Mesonet,-99.9773,45.2815,TRUE,TRUE,TRUE
LTBM8,UMRB Mesonet,-109.6417,48.746,TRUE,TRUE,TRUE
LTMS2,UMRB Mesonet,-101.4844,45.0871,TRUE,TRUE,TRUE
LVAM8,UMRB Mesonet,-108.95365,46.39892,TRUE,TRUE,TRUE
LYHN1,UMRB Mesonet,-98.5042,42.8407,TRUE,TRUE,TRUE
MATS2,UMRB Mesonet,-101.6511,43.1992,TRUE,TRUE,TRUE
MAUN1,UMRB Mesonet,-103.33128,42.35566,TRUE,TRUE,TRUE
MBMS2,UMRB Mesonet,-102.7539,44.9196,TRUE,TRUE,TRUE
