depth,n,KGE_kgml,KGE_sport,KGE_diff,r_kgml,r_sport,r_diff,bias_kgml,bias_sport,bias_diff
Shallow,53,0.5871996086628901,0.410482227256027,0.18,0.8716073485358125,0.7595331801288058,0.11,19.559073115197737,23.141706287617065,-3.5
Middle,56,0.5354409421963667,0.5124331096256379,0.03,0.81218261774588,0.7605766509615166,0.05,19.55483342872442,21.625981011027594,-2
