depth,network,site_id,n_ml,n_sport,longitude,latitude,robust,KGE_KGML,KGE_SPoRT,KGE_diff,r_KGML,r_SPoRT,r_diff,pbias_KGML,pbias_SPoRT,pbias_diff,abs_pbias_adv
Middle,SCAN,SCAN:2051,0,NA,-80.55,25.5,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle,SCAN,SCAN:2152,62,62,-112.39258,40.590889999999995,FALSE,-0.7552067119564168,-0.9477517498059929,0.1925450378495761,-0.6267977547240369,-0.9362092476829467,0.3094114929589098,-22.8,19,-41.8,-3.8000000000000007
Middle,SCAN,SCAN:2163,37,37,-113.45866,39.23724,FALSE,-0.3410820274020352,-0.28386912781208173,-0.05721289958995346,0.07162489277404786,0.09924963931670164,-0.027624746542653775,-32.4,83.6,-116,51.199999999999996
Middle,SNTL,SNTL:1000,330,330,-122.16518,42.870070000000005,FALSE,-5780.880844585769,-10412.65536954874,4631.774524962971,0.014174273635764414,-0.03998965880580394,0.054163932441568356,578004.4,1041199.9,-463195.5,463195.5
Middle,SNTL,SNTL:1085,312,142,-121.5343,46.86954,FALSE,0.4923699754532993,0.5191571228576333,-0.026787147404333966,0.787251055898769,0.7797617490335484,0.007489306865220535,-46.1,-24.8,-21.3,-21.3
Middle,SNTL,SNTL:1107,317,317,-123.45747,47.7086,FALSE,-1.046746519488519,0.29966197804418127,-1.3464084975327002,0.8310158676459282,0.8414144748104505,-0.010398607164522344,199.6,68.2,131.39999999999998,-131.39999999999998
Middle,SNTL,SNTL:1113,4492,4032,-111.56918,41.88573,TRUE,0.7376392432342647,0.6267664943033,0.11087274893096466,0.8044161873808383,0.7938633437385841,0.010552843642254173,13.7,3.6,10.1,-10.1
Middle,SNTL,SNTL:1132,474,474,-107.0136,44.34847,TRUE,-0.7447052999575168,-1.8301396511847234,1.0854343512272067,0.26363487808650954,0.1424228300951155,0.12121204799139404,156.5,262,-105.5,105.5
Middle,SNTL,SNTL:1152,1881,1658,-114.6133,39.16337,TRUE,-0.5258354368653468,-1.0260311916529297,0.5001957547875828,0.7669063562563052,0.5704567090248777,0.19644964723142755,150.5,193.4,-42.900000000000006,42.900000000000006
Middle,SNTL,SNTL:1159,524,514,-118.98640000000002,48.9516,TRUE,0.4113560203838712,0.2808672559782339,0.13048876440563728,0.9555805846955556,0.9446330592536174,0.010947525441938222,-22.7,11,-33.7,-11.7
Middle,SNTL,SNTL:1280,1927,1308,-111.71802,39.92076,TRUE,0.51491339843021,0.5298109311674204,-0.014897532737210395,0.8099679889197638,0.7657536371649715,0.04421435175479238,42.8,32.2,10.599999999999994,-10.599999999999994
