season,depth,r,RMSE,n
May-Oct,Middle,0.570341402031563,0.8360170099028691,1494362
May-Oct,Shallow,0.6585763038595678,0.7705921667846437,1496620
all non-frozen,Middle,0.5160068302552974,0.8945122258217373,2661429
all non-frozen,Shallow,0.6366363661119853,0.7929209465510687,2162552
