depth,region,KGE_kgml,KGE_sport,KGE_delta,KGE_oos,r_kgml,r_sport,r_delta,r_oos,bias_kgml,bias_sport,bias_delta,bias_oos
Shallow,All sites,0.6000043274192819,0.33509748283846946,79.05366591742148,0.5270706350289192,0.8086573139334094,0.6745872631637899,19.874382172713407,0.825264711537637,18.45,30.7,-39.902280130293164,17
Shallow,UMRB Mesonet,0.6587768787812466,0.3642617110754155,80.85262841277756,0.5298656165490652,0.8389446902937486,0.6691166566527794,25.380930507771982,0.8279987295899445,13,29,-55.172413793103445,15.2
Middle,All sites,0.47512551411306125,0.3462773337447962,37.20953346118381,0.37360607689681624,0.7176887958629298,0.6573460108010424,9.179759832778727,0.7874161581629839,20.7,29.6,-30.067567567567572,21.200000000000003
Middle,UMRB Mesonet,0.5119388916356299,0.17447128871954765,193.42300122431124,0.3700223453750001,0.7524377655620491,0.7174194536987005,4.881148912649288,0.7860939469643293,17.9,29,-38.27586206896552,19.8
