depth,model,AIC,BIC,R2
Shallow,linear,-327.2802729667044,-320.5347872405563,0.2731607510459995
Shallow,log-linear (saturating),-331.18667832187543,-324.44119259572733,0.312611560408079
Shallow,asymptotic nls (saturating),-329.44489537198285,-320.4509144037854,0.3151425381715617
Middle,linear,-233.54364712578058,-226.7981613996325,0.05882138219993449
Middle,log-linear (saturating),-233.07178090572867,-226.3262951795806,0.05245551608601309
Middle,asymptotic nls (saturating),-229.90395529015933,-220.9099743219619,0.03651481870724693
