depth,class,n,MAE_KGML,MAE_SPoRT,kappa_KGML,kappa_SPoRT
Shallow,D4,14145,0.8629425073237139,0.9437263133863644,NA,NA
Shallow,D3,34285,0.740625749225771,0.785546626813718,NA,NA
Shallow,D2,50090,0.6492861043557938,0.6924590791640356,NA,NA
Shallow,D1,147453,0.5628496820760278,0.6314117805882606,NA,NA
Shallow,D0,129752,0.5374332953456796,0.6371725059402239,NA,NA
Shallow,Neutral,520822,0.5720185561097157,0.7028191279179766,NA,NA
Shallow,W0,131789,0.6085856304115652,0.7677476442096225,NA,NA
Shallow,W1,156494,0.6328580632434856,0.8187145983197186,NA,NA
Shallow,W2,56569,0.7068199421192428,0.918186584006813,NA,NA
Shallow,W3,43963,0.8238013779102142,1.0574293130558152,NA,NA
Shallow,W4,30568,0.8329728765503811,1.0750825687003969,NA,NA
Shallow,Overall,1315930,0.6092077524285051,0.7427331123582517,0.6166469042530242,0.4933577825035341
Middle,D4,12396,1.0988429381079194,1.1235939693894668,NA,NA
Middle,D3,36542,0.8927790604032619,0.9192798049918698,NA,NA
Middle,D2,52517,0.720488271236374,0.7568452070428796,NA,NA
Middle,D1,153449,0.6254051984298027,0.6937376831598865,NA,NA
Middle,D0,131223,0.5944600331088501,0.6789416463182157,NA,NA
Middle,Neutral,512845,0.6247352504340634,0.7291468209174693,NA,NA
Middle,W0,130751,0.673924479962403,0.7986391598305738,NA,NA
Middle,W1,157124,0.7189165112507351,0.8679119143482258,NA,NA
Middle,W2,52721,0.811250028142235,0.9840885724888664,NA,NA
Middle,W3,40227,0.9326038396079164,1.1316465665064437,NA,NA
Middle,W4,25816,0.9724873429741396,1.2057488861746448,NA,NA
Middle,Overall,1305611,0.6777798984406969,0.7858988639892392,0.5337088844845983,0.4302273448037064
